# VG Wort URL lock - PROVISIONAL. Derived from the built site, not from a
# T.O.M. export: it records where a mark RENDERS, never where it EARNS.
# No registered_url column by design - see ADR-0020. Gate A3 reads this in
# neutrality mode (does a change move a locked URL). Replaced by
# url-lock.csv at programme SS15, after which A3 checks correctness.
url,code,first_seen,content_sha
/track_e_kl07/units/premiere-mediation/,1ee43e55747b4498ad09d2351de24697,2026-08-21,8cd7e196653ef0fe
/track_e_kl07/units/raconter-une-anecdote-exam/,315d50f7003b4d9992a242929464872f,2026-08-21,65a9b08b99c6a341
/track_e_kl07/units/raconter-une-anecdote/,1daae2f35b9c444ab20d81a6f7116593,2026-08-21,727e7e822100d109
/track_e_kl07/units/repas-en-famille-e-exam/,31a68545794c4b1994ddf5034b35feea,2026-08-21,c76943884c2e6ebc
/track_e_kl07/units/repas-en-famille-e/,1deb0c44c1d547e7b08f880286ad8e3e,2026-08-21,cbe434da136e6bb1
/track_e_kl07/units/transports-et-mobilite-exam/,31c6b812b71b4845af94365b9bd25af4,2026-08-21,344c4559cba4a411
/track_e_kl07/units/transports-et-mobilite/,1e19f533d33d4ddeb044e1f61ca0bddf,2026-08-21,4a2b080967c216da
/track_e_kl07/units/vacances-en-bretagne-exam/,31cc5b4329ec4a7d818772839d9e2c04,2026-08-21,866c171eca20ee01
/track_e_kl07/units/vacances-en-bretagne/,1e2fea4751d84155b260e58898e695aa,2026-08-21,b9161b7d275b197e
/track_e_kl08/units/autour-de-la-planete-francophone-e-exam/,3236b91a0d674dc788091b2a64ee0114,2026-08-21,5f0abae02f79ff1e
/track_e_kl08/units/autour-de-la-planete-francophone-e/,1fb08dc97f03485fadf25557ed937604,2026-08-21,b1ca35df1497f688
/track_e_kl08/units/bilan-portrait-d-une-rencontre-e-exam/,32f7b60130ec4e08a945c46ac470b65c,2026-08-21,77d495e802292775
/track_e_kl08/units/bilan-portrait-d-une-rencontre-e/,206f9a723fe34052bcacf73260450d38,2026-08-21,770d8b2508edf4a1
/track_e_kl08/units/champs-de-bataille-exam/,325deb5ad7b342dd909f62f42c5f5e60,2026-08-21,e93660dbe16fb08f
/track_e_kl08/units/champs-de-bataille/,1ff88749bde94842acc2dd69c373e144,2026-08-21,483f731541c4e23c
/track_e_kl08/units/cinema-quebecois-e-exam/,3295e861fea24201a91dcd1c60f80c39,2026-08-21,e1a078c6d2160151
/track_e_kl08/units/cinema-quebecois-e/,201e8a07f20948bdb286782e04a48002,2026-08-21,530723b995a3e5e7
/track_e_kl08/units/correspondance-avec-montreal-e-exam/,321fdae4df6a4c498c6c5f44304773e2,2026-08-21,c13d3dd485806013
/track_e_kl08/units/correspondance-avec-montreal-e/,1f7ac3027cae473aadf7c6a83caa4b2d,2026-08-21,26746c8a7f5396b8
/track_e_kl08/units/la-rentree-en-8e-exam/,320796b113e0484eafd0bebbb899bb95,2026-08-21,82b44d174ec2fc4c
/track_e_kl08/units/la-rentree-en-8e/,1f64fbf604164eb78769d718a93df8f8,2026-08-21,30429d4dca4722c1
/track_e_kl08/units/mes-medias-preferes-e-exam/,3224ba8926b94be48e5cbeeaa8364bce,2026-08-21,8bc3c0612ce25ad8
/track_e_kl08/units/mes-medias-preferes-e/,1f9ede6fc1e1427d9361f798b4c3405e,2026-08-21,a0f87d723315a0a3
/track_e_kl08/units/musiques-du-maghreb-e-exam/,324f5c174a8a466e8dd7f060855ef42a,2026-08-21,1bee762e137bf20c
/track_e_kl08/units/musiques-du-maghreb-e/,1fe85d7bd9394244ad645671223ffa02,2026-08-21,ce49285339c1b678
/track_e_kl08/units/sprachmittlung-de-fr-resume-e-exam/,324b35b8859740f5bc9d77ddbb8e7d32,2026-08-21,579239ba3424fcf7
/track_e_kl08/units/sprachmittlung-de-fr-resume-e/,1fd5bffa9385441f86ade8d3c69fee08,2026-08-21,8685e848188c3fc2
/track_e_kl08/units/stereotypes-et-prejuges-e-exam/,329489a5e65c4dcca8ee6613cbe791f5,2026-08-21,830f4c0a1e899b1b
/track_e_kl08/units/stereotypes-et-prejuges-e/,2010eb80921e4d91855aa088c9666d7a,2026-08-21,4a5aba152d7f6dcb
/track_e_kl08/units/un-allemand-a-paris-e-exam/,325e9d5b9f194a92b4d98ac5fe11a8dc,2026-08-21,d8b46807bc1e3f9b
/track_e_kl08/units/un-allemand-a-paris-e/,20050598d87c43d4a6aa0934538afbd6,2026-08-21,5a55ba8862c0f16f
/track_e_kl08/units/un-projet-solidaire-e-exam/,32bf5ffd461942da9279eb2a2f21943e,2026-08-21,155c2309fa81f8e3
/track_e_kl08/units/un-projet-solidaire-e/,204a2fc573064e68bd8aaa21bd195f99,2026-08-21,a657acfc2b22ec9a
/track_e_kl09/units/argumenter-pour-contre-e-exam/,332a193918cb4c85b4f94b9920d0d462,2026-08-21,efa4ec02b0df7be8
/track_e_kl09/units/argumenter-pour-contre-e/,20fb736bae274f39b7592c310e63802b,2026-08-21,243fd3fa9ae56f2a
/track_e_kl09/units/bilan-9e-e-exam/,33e29c5fc13f4eceba927672b96c2519,2026-08-21,76493c7dda1fec33
/track_e_kl09/units/bilan-9e-e/,2261f15b84f2431891aa92863c4ffe23,2026-08-21,9aeb6af580093606
/track_e_kl09/units/consommation-responsable-e-exam/,33cf9d145bda4378ae19cfbeb1b10aad,2026-08-21,d20e263ed4dc5e1c
/track_e_kl09/units/consommation-responsable-e/,22282941c5f843ccb83894d84d2fef58,2026-08-21,d6adc4a78e8f1e7a
/track_e_kl09/units/differences-culturelles-e-exam/,33aea98cfa344ba8802179a319a2a8a7,2026-08-21,108a8b894cd00540
/track_e_kl09/units/differences-culturelles-e/,21ec2a0dcd8e46a0a33f2bf2e038239d,2026-08-21,2231bfffdc4c7e55
/track_e_kl09/units/ecologie-au-quotidien-e-exam/,3325b624e8e441b4ab1783ab3a29b331,2026-08-21,30643df2be7ae67e
/track_e_kl09/units/ecologie-au-quotidien-e/,20b8b29e7abd41beaf4ed4ba8e1a8688,2026-08-21,211ee715d376b3d1
/track_e_kl09/units/francais-au-travail-e-exam/,33d26db87ed149ff96248fc053f7a249,2026-08-21,1e87cce81aefd721
/track_e_kl09/units/francais-au-travail-e/,224e20a5129b4b1f911f956ddd29d3f5,2026-08-21,8e55316ae896525c
/track_e_kl09/units/harcelement-et-respect-e-exam/,3399a0cea2474604a7ff034e986f871c,2026-08-21,ba2d66580c745888
/track_e_kl09/units/harcelement-et-respect-e/,21cfaaabf95444a28b45212a5d5221dd,2026-08-21,b7bdc76faf2c039a
/track_e_kl09/units/internet-et-vie-privee-e-exam/,33bb8af9322541018ce338de5014fca1,2026-08-21,2915cfb6834f2283
/track_e_kl09/units/internet-et-vie-privee-e/,21fa0a9be3f14b0faced0416c84d7c37,2026-08-21,7013d7ab81d8a293
/track_e_kl09/units/le-monde-du-travail-e-exam/,331686759e2e40c69acf4b5f5bb4efd7,2026-08-21,aaa5e5f0a8968514
/track_e_kl09/units/le-monde-du-travail-e/,20a704d960ef4074a205f68f20c5bd67,2026-08-21,8bc403aaadba0c38
/track_e_kl09/units/le-petit-nicolas-exam/,334ccd3344bc40e99cad39f92a920565,2026-08-21,fff9d531f39c6a5e
/track_e_kl09/units/le-petit-nicolas/,2130a38685a04ceb939fd6540e22db5e,2026-08-21,891b5a9c7aabaca7
/track_e_kl09/units/lettre-de-motivation-e-exam/,3319af2e0eed4e77a8dcdb2866fe6d44,2026-08-21,f91395f7667c1ad4
/track_e_kl09/units/lettre-de-motivation-e/,20ac93c452764ba0b60c412e529b2ee9,2026-08-21,d3beb47a34bdbf8d
/track_e_kl09/units/podcasts-en-francais-e-exam/,337b29329ffd4cbda2e7e47f262ae773,2026-08-21,452d4c27f12918cb
/track_e_kl09/units/podcasts-en-francais-e/,21944f6b3bb94fd0a5f3a09700da05b0,2026-08-21,5914c4069d3ce141
/track_e_kl10/units/bilan-fin-sek-i-exam/,34847217f89a438e885a182feda9ff4b,2026-08-21,7a49e76f9093a43a
/track_e_kl10/units/bilan-fin-sek-i/,23ac70699a38474b837e7dccc6b0e306,2026-08-21,7ce4b24d79e991c2
/track_e_kl10/units/engagement-citoyen-e-exam/,3450ebbc7ea044fcb23528bd98e94560,2026-08-21,297a595856b522ac
/track_e_kl10/units/engagement-citoyen-e/,2333fa6f03aa41a1ac94461e646ad7e5,2026-08-21,a79cf5d3ec6722f7
/track_e_kl10/units/extraits-romans-jeunes-exam/,345ae605f26c4490b1767820bdd180d0,2026-08-21,c86c7dc8165a2a03
/track_e_kl10/units/extraits-romans-jeunes/,23514fe6ce47467495aafaa7bf033489,2026-08-21,fc48a6afd807e4cc
/track_e_kl10/units/francophonie-aujourd-hui-e-exam/,340eab80af8c4ef8b7fcea8c4bb12339,2026-08-21,8fb95cea9c062ae9
/track_e_kl10/units/francophonie-aujourd-hui-e/,22d2e7f4eb3a4a25b791dfd47c01ce00,2026-08-21,6713e102f4e49a46
/track_e_kl10/units/mediation-avancee-e-exam/,34109cba81484a808d10f01e7a923c41,2026-08-21,8e5a9b7b42a327db
/track_e_kl10/units/mediation-avancee-e/,22f48257bcbb4d93a4e72c93acea5641,2026-08-21,38d03e95e661ede2
/track_e_kl10/units/mobilite-erasmus-jeune-e-exam/,346beec4b5fd4c628decbd631bafada4,2026-08-21,a88d72c3511596ca
/track_e_kl10/units/mobilite-erasmus-jeune-e/,2369166e6e5040b2a16f0a6d67bf2448,2026-08-21,62d8c3c94803db9d
/track_e_kl10/units/premiere-analyse-poesie-exam/,340f1491dcf342c79cc8aef702857a3c,2026-08-21,581a910c7cfaa659
/track_e_kl10/units/premiere-analyse-poesie/,22e9489ab4f644aa983aef5fb1ca54c1,2026-08-21,a13cbc40806a247c
/track_e_kl10/units/preparer-un-discours-e-exam/,346cd1208e0b4d0683a76dddd465b255,2026-08-21,9e34fc6fbc28ebcb
